net,length_um
net34,1267.8
net70,1159.64
net69,1143.14
net49,1132.68
net68,1119.47
net71,1112.3
net48,1015.88
_06781_,998.37
net61,982.61
net38,979.96
net51,935.72
_08734_,922.52
net16,902.76
net5,877.26
net32,866.72
net3,860.07
net42,819.24
net20,784.51
net54,768.025
net18,743.98
net28,743.14
_14074_,742.14
net31,719.6
_14065_,717.42
net4,717.1
net67,714.23
net29,705.945
net64,705.4
net45,705.055
net6,701.14
clknet_0_clk,699.78
net52,698.7
_06516_,695.7
net13,693.22
net36,677.76
net8,677.07
_14078_,675.82
_01225_,667.75
_07054_,645.92
net24,634.73
net21,632.88
net33,625.66
net12,619
net1,614.72
net2,612.27
net23,597.24
_07347_,591.27
_07575_,590.64
net15,582.68
clk,582.09
_01488_,576.28
_09615_,563.95
net63,537.82
net59,526.34
net35,525.02
net57,523.6
net44,520.87
_09085_,511.32
net26,510.815
net17,496.48
net39,487.72
net9,487
_08733_,482.14
net19,481.445
_08735_,479.72
_08695_,479.48
_09451_,477.98
_08696_,475.05
_00557_,466.67
net62,466.57
_08777_,465.49
_09450_,464.59
net14,459.92
_01000_,458.4
net27,456.18
_08025_,451.19
net50,450.84
clknet_3_5__leaf_clk,449.27
_11429_,448.61
net30,446.82
_01004_,446.34
clknet_3_7__leaf_clk,441.945
net7,441.42
_00546_,437.47
_14067_,437.02
_08258_,436.32
_09809_,435.79
_09792_,434.76
_07933_,434.64
_09284_,430.84
_08041_,426.15
_09627_,425.06
net37,420.32
_08932_,418.07
_00506_,414.38
_09493_,413.33
_08026_,410.32
_14441_,407.2
clknet_3_2__leaf_clk,407
_07626_,406.62
_10456_,406.44
_07671_,404.78
_00539_,403.58
net25,401.84
_00664_,400.45
_08663_,396.54
_07139_,393.46
_07711_,389.72
_09713_,388.56
_08155_,388.49
net10,387.18
_01273_,386.21
_07284_,386.08
net66,385.14
_12093_,381.41
net11,379.34
_07131_,379.115
_07103_,378.24
_10085_,378.1
_09937_,377.08
_08738_,375.98
_07281_,375.25
_07059_,374.81
net58,373.86
_01784_,373.43
_00625_,370.75
net47,368.26
_07277_,368.21
_07235_,367.68
_00517_,365.6
_07340_,365.31
net22,364.06
_09037_,362.58
_09102_,361
_00544_,360.86
_07334_,360.83
_14174_,360.12
clknet_3_4__leaf_clk,359.53
_06700_,357.75
_06762_,356.44
_14284_,356.35
_01897_,356.33
_06621_,354.02
_08137_,353.7
_07186_,352.8
_07123_,352.65
_08902_,352.33
_07627_,351.05
_09030_,351.02
_07106_,350.77
_08901_,349.555
_07829_,349.38
_07901_,347.81
_00511_,346.28
_06626_,344.78
_07924_,344.75
_07218_,344.66
_07548_,344.59
_07427_,342.65
_07224_,340.7
_06518_,340.14
_07738_,338.98
_03597_,338.72
_01621_,337.85
clknet_3_1__leaf_clk,334.72
_09391_,334.04
_07413_,334.02
_04261_,332.83
_01846_,332.54
_14355_,332.06
_00992_,331.34
_08204_,331.18
_14259_,331.08
_06650_,330.54
_07921_,330.29
_07416_,329.93
_01012_,329.22
_11048_,327.91
_00569_,327.48
_06482_,327.11
_02363_,327.08
_07822_,327.03
_04401_,326.58
_11734_,326.11
_01877_,325.83
_07847_,325.8
_08931_,325.12
_14239_,325.03
_08017_,324.94
_10633_,323.72
_07267_,323.1
_08354_,323.05
_07710_,321.39
_00915_,320.61
_07872_,320.2
_14342_,319.79
clknet_3_6__leaf_clk,319.14
_14437_,318.93
_07531_,316.65
_05605_,316.34
net55,316.18
_08509_,316.03
_10212_,315.96
_04884_,314.93
_01779_,314.79
_07323_,313.98
_06631_,313.39
_06892_,313.16
_07289_,311.67
_07209_,311.39
_07151_,310.32
_00497_,310.2
_08938_,309.925
_09100_,309.78
_10543_,309.64
_07596_,309.39
_05089_,309.01
_07592_,308.86
_10542_,308.22
_10103_,307.375
_09095_,306.45
_07309_,306.39
_09545_,306.14
_12862_,305.74
_14474_,305.37
_04990_,304.72
_01400_,304.09
_10352_,304.06
_14344_,304.035
_07498_,303.12
_00529_,302.96
_01875_,302.81
_07176_,302.8
_01540_,302.75
_09486_,302.24
_07420_,302.23
_07583_,301.7
net46,301.12
_10841_,301.06
_00551_,300.37
_01325_,300.33
_01095_,300.08
_07978_,299.24
_01110_,298.96
_09886_,298.835
_02551_,298.78
_09091_,298.725
_00703_,298.27
_10229_,298.21
_05374_,297.8
_06800_,297.54
_07511_,297.05
_14337_,296.74
_00708_,296.3
_09290_,296.13
_07014_,295.98
_10821_,295.4
_01654_,294.64
_07908_,292.95
_09039_,292.73
_10943_,292.24
_07706_,292.08
_09966_,290.96
_00736_,290.54
_12659_,290.52
_04743_,290.48
_04271_,289.9
_07529_,289.41
_09304_,289.075
_09458_,288.915
_09878_,288.62
_06995_,287.06
clknet_3_3__leaf_clk,286.68
_04788_,286.32
_08933_,285.775
_02079_,285.43
_00710_,285.18
_09563_,285.1
_12449_,284.66
_07162_,284.415
_10344_,283.1
_07262_,282.52
_06731_,281.44
net41,280.94
_08776_,280.51
_07605_,280.16
_04667_,279.95
_14236_,279.9
_02322_,278.98
_00883_,278.81
_07820_,278.76
_05187_,278.54
_07395_,278.34
_14214_,278.33
_10106_,278.26
_06365_,277.04
_07614_,277.02
_08283_,276.25
_04390_,276.22
_03811_,275.81
_14219_,274.92
_01331_,274.64
_07622_,274.1
_07745_,273.95
_06654_,273.72
_04992_,273.67
_04391_,273.51
_06927_,273.08
_07932_,272.36
_04534_,272.28
_02180_,270.725
_08745_,270.62
_14350_,270.315
_05279_,270.1
_09107_,270.01
_01643_,269.795
_14401_,269.17
_04543_,268.81
_04779_,268.53
_05194_,268.45
_07653_,268.3
_06662_,267.84
_01034_,267.72
_03812_,267.515
_14234_,267.09
_14283_,266.78
_14493_,266.72
_08507_,266.61
_12289_,266.46
_01952_,266.38
_04329_,266.22
_09453_,265.08
_01854_,264.89
_05288_,264.53
_13219_,264.38
_00549_,264.23
_14336_,264.07
_04782_,263.4
_14279_,263.4
_08920_,262.8
_05097_,262.18
_10011_,262.04
_09324_,261.84
_14450_,261.82
_14241_,261.8
_14197_,261.71
_07601_,261
_07693_,260.91
_14385_,260.49
_03027_,260.4
_14412_,260.22
_02736_,259.7
_07180_,259.3
_04661_,258.86
_07361_,258.73
_02198_,258.68
_06489_,258.42
_12658_,258.1
_07332_,257.795
_08278_,257.41
_07320_,257.29
_06668_,256.695
_01029_,256.54
_09965_,256.24
_10800_,256.24
_10478_,256.205
_01778_,254.695
_01823_,254.545
_07895_,254.28
_00878_,253.95
_14362_,253.78
_00996_,253.4
_07202_,253.23
_06865_,253.1
_00881_,252.9
_02802_,252.86
_01009_,252.49
_14173_,252.46
_03261_,251.32
_02190_,251.25
_08056_,250.87
_07552_,250.83
_07796_,250.25
_12257_,250.1
_14290_,250.08
_02025_,250.04
_09332_,249.79
_14064_,249.64
_01120_,249.455
_14494_,249.41
_00534_,248.62
_14319_,247.78
_14321_,247.78
_01618_,245.38
_06833_,245.38
_05376_,245.32
_07381_,245.16
_08039_,244.96
_02163_,244.73
_06707_,244.46
_05550_,243.72
_01002_,243.71
_08760_,243.66
_01995_,243.65
_07126_,243.16
_01561_,242.845
_06736_,242.21
net43,241.94
_07227_,241.925
_07270_,241.83
_00707_,241.4
_08259_,241.29
_07716_,241.02
_05468_,240.92
_07823_,240.9
_00683_,240.71
_08346_,240.35
_01271_,240.16
_06957_,239.96
_01258_,239.66
_09309_,239.63
_14324_,239.6
_10167_,239.12
_07825_,238.9
_08138_,238.395
_13978_,237.98
_11085_,237.39
_14211_,237.05
_08906_,236.88
_02649_,236.46
_07325_,236.42
u_rom1.addr\[2\],236.32
_08636_,236.25
_14419_,236.215
_04191_,236.04
_00831_,236.02
_09816_,235.6
_02114_,235.45
_04328_,234.99
_09092_,234.92
_01562_,234.63
_12597_,234.05
_07067_,233.82
_09492_,233.58
_05985_,233.25
_06556_,233.06
u_rom1.addr\[1\],231.88
_07352_,231.75
_03752_,231.72
_09187_,231.64
_12977_,231.31
_02186_,231.27
_08895_,231.26
_01711_,231.03
_05149_,230.34
_09390_,229.96
_07528_,229.19
_00523_,228.78
_14190_,228.08
_09028_,227.93
_09407_,227.91
_10994_,227.76
_08736_,227.28
_13948_,227.24
_00520_,227.12
_09786_,226.71
_10937_,226.68
_02314_,226.58
_01209_,226.19
_01487_,225.76
_07520_,225.74
_10886_,225.58
_08997_,225.49
_00971_,225.375
_01280_,225.33
_10987_,225.06
_01003_,225.04
_14264_,224.98
_14300_,224.82
_14357_,224.8
_00578_,224.79
_12169_,224.4
_07889_,223.885
_14242_,223.61
_08855_,223.44
_08185_,222.98
_07742_,222.83
_01208_,222.55
_07034_,222.44
_06533_,222.22
_07556_,221.64
_00509_,221.59
_08669_,221.47
_03464_,221.42
_07382_,221.21
_07366_,221.16
_03004_,221.12
_08893_,221.015
_11043_,220.94
_14247_,220.705
_09335_,220.54
_03372_,220.42
_12880_,220.06
_06964_,220.015
_07105_,219.64
_07179_,219.47
_05454_,219.4
_00925_,219.1
_01353_,218.83
_08020_,218.59
_07576_,218.48
_06103_,218.34
_11335_,218.22
